Questions	
questions 1	jeux 1	Catégorie	Base
Rules	MidTruth	DareAssis
Competition	DeepTruth	DareDabout
NeverHaveIEver	HotTruth	DareHot
MostLikely	WouldYouRather	
DoYouKnowMe		
Juduku		
Debat		
TopTen		

question 2	jeux 1
qeustion 3	jeux 2
	
Pour combien deviendrais tu une pornstar ?	HotTruth
As tu déja  essayé de soudoyer un policier pour qu'il te retire une amende ?	MidTruth
As-tu déja  regardé un film porno du début a  la fin?	HotTruth
Possedes-tu des amulettes ou porte-chance ?	MidTruth
Quel est ta série péché mignon ? 	MidTruth
As-tu déja  eu un reve érotique ou tu couchais avec toi meme ?	HotTruth
As-tu déja  eu un reve érotique avec une personne autour de la table?	HotTruth 
As-tu déja  fait un striptease ?	HotTruth 
Es-tu déja  passé a  la télévision ?	MidTruth 
Qu'aimerais tu dire au président si tu le rencontrais?	MidTruth 
Quel est ta plus grande peur ?	DeepTruth
Quel est ton pire cauchemar ?	DeepTruth
Raconter une anecdote de vacances en utilisant uniquement des onomatopées	DareAssis
Raconter une histoire de famille en utilisant uniquement des gestes	DareAssis
Décrire votre pire rencard en utilisant uniquement des émojis	DareAssis
Penses a  une personne et fais la deviner aux autres en utilisant seulement des bruits	DareAssis
Eteinds toutes les lumieres	DareDebout
Choisissez 2 joueurs qui doivent se faire un ca¢lin	DareAssis
Montrez tout ce qui est dans votre portefeuille	DareAssis
Changez de haut avec la personne a  votre droite	DareHot
Dites un discours funebre sur le joueur a  votre droite	DareAssis
Utilisez votre ligne de drague la plus ringarde sur le joueur a  votre gauche	DareHot
Fais un rap freestyle sur la personne en face de toi	DareAssis
Toute les personnes célibataire boivent a  leur vie amoureuse	MostLikely
Désignez ensemble le joueur le plus a  meme de finir avec plus de chats que de conquete	MostLikely
Désignez ensemble le joueur le plus indécis	MostLikely
Désignez ensemble le joueur le plus la¢che	MostLikely
Bois avec des mains métal (auriculaire et index pointé)	Rules
Vous devez vous asseoir sous la table comme le déchet ivre que vous etes	DareAssis
Touches le sol avec ton front 	DareDebout
Vous avez maintenant un vocabulaire d'un mot : Hodor	Rules
Votre boisson doit rester en contact permanent avec la table. Strictement pas de paille	Rules
Chaque fois que vous jurez vous devez vous asseoir sur les genoux de la personne a  votre gauche	Rules
Tu as 30 secondes pour aller te cacher quelque part. Une fois le temps écoulé tout le monde doit essayer deÂ te trouver et te cacher avec toi. La derniere personne a  trouver tout le monde doit finir son verre	DareDebout
La prochaine carte tirée affecte tout le monde dans le jeu	Rules
Remplacez votre tenue actuelle par quelque chose qui n'est pas un vetement	DareHot
Une autre personne peut établir une regle que vous devez respecter	Rules
Vous devez avouer quelque chose que vous n'avez jamais fait. Si quelqu'un l'a fait il perd une vie. Chacun joueur commence avec trois vies qui peuvent etre montrées en levant autant de doigts. 	Competition
Chacun doit passer son verre a  la personne de gauche	DareAssis
Vous devez prendre une gorgée généreuse de chaque boisson qu'il y a sur la table	DareAssis
Vous pouvez ajouter ce que vous voulez a  la boisson de quelqu'un.	DareAssis
Vous devez construire et porter une nouvelle tenue en utilisant uniquement les vetements les plus scandaleux que vous trouvez	Competition
Chaque fois que vous touchez votre visage vous devez boire	Rules
Prenez un autre verre pour en avoir un dans chaque main. Toute regle qui vous concerne s'applique désormais en double.	Rules
Dessinez tout ce que vous voulez sur n'importe quelle partie cachée de quelqu'un.	DareAssis
