Questions,Jeux
Pour combien deviendrais tu une pornstar ?,HotTruth
As tu deja  essaye de soudoyer un policier pour qu'il te retire une amende ?,MidTruth
As-tu deja  regarde un film porno du debut a  la fin?,HotTruth
Possedes-tu des amulettes ou porte-chance ?,MidTruth
Quel est ta serie peche mignon ? ,MidTruth
As-tu deja eu un reve erotique ou tu couchais avec toi meme ?,HotTruth
As-tu deja  eu un reve erotique avec une personne autour de la table?,HotTruth 
As-tu deja  fait un striptease ?,HotTruth 
Es-tu deja  passe a  la television ?,MidTruth 
Qu'aimerais tu dire au president si tu le rencontrais?,MidTruth 
Quel est ta plus grande peur ?,DeepTruth
Quel est ton pire cauchemar ?,DeepTruth
Raconter une anecdote de vacances en utilisant uniquement des onomatopees,DareAssis
Raconter une histoire de famille en utilisant uniquement des gestes,DareAssis
Decrire votre pire rencard en utilisant uniquement des emojis,DareAssis
Penses a  une personne et fais la deviner aux autres en utilisant seulement des bruits,DareAssis
Eteinds toutes les lumieres,DareDebout
Choisissez 2 joueurs qui doivent se faire un ca¢lin,DareAssis
Montrez tout ce qui est dans votre portefeuille,DareAssis
Changez de haut avec la personne a  votre droite,DareHot
Dites un discours funebre sur le joueur a  votre droite,DareAssis
Utilisez votre ligne de drague la plus ringarde sur le joueur a  votre gauche,DareHot
Fais un rap freestyle sur la personne en face de toi,DareAssis
Toute les personnes celibataire boivent a  leur vie amoureuse,MostLikely
Designez ensemble le joueur le plus a  meme de finir avec plus de chats que de conquete,MostLikely
Designez ensemble le joueur le plus indecis,MostLikely
Designez ensemble le joueur le plus la¢che,MostLikely
Bois avec des mains metal (auriculaire et index pointe),Rules
Vous devez vous asseoir sous la table comme le dechet ivre que vous etes,DareAssis
Touches le sol avec ton front ,DareDebout
Vous avez maintenant un vocabulaire d'un mot : Hodor,Rules
Votre boisson doit rester en contact permanent avec la table. Strictement pas de paille,Rules
Chaque fois que vous jurez vous devez vous asseoir sur les genoux de la personne a  votre gauche,Rules
Tu as 30 secondes pour aller te cacher quelque part. Une fois le temps ecoule tout le monde doit essayer deÂ te trouver et te cacher avec toi. La derniere personne a  trouver tout le monde doit finir son verre,DareDebout
La prochaine carte tiree affecte tout le monde dans le jeu,Rules
Remplacez votre tenue actuelle par quelque chose qui n'est pas un vetement,DareHot
Une autre personne peut etablir une regle que vous devez respecter,Rules
Vous devez avouer quelque chose que vous n'avez jamais fait. Si quelqu'un l'a fait il perd une vie. Chacun joueur commence avec trois vies qui peuvent etre montrees en levant autant de doigts. ,Competition
Chacun doit passer son verre a  la personne de gauche,DareAssis
Vous devez prendre une gorgee genereuse de chaque boisson qu'il y a sur la table,DareAssis
Vous pouvez ajouter ce que vous voulez a  la boisson de quelqu'un.,DareAssis
Vous devez construire et porter une nouvelle tenue en utilisant uniquement les vetements les plus scandaleux que vous trouvez,Competition
Chaque fois que vous touchez votre visage vous devez boire,Rules
Prenez un autre verre pour en avoir un dans chaque main. Toute regle qui vous concerne s'applique desormais en double.,Rules
Dessinez tout ce que vous voulez sur n'importe quelle partie cachee de quelqu'un.,DareAssis
Vous ne pouvez plus avoir de contact avec le sol,Rules
Vous n'etes plus autorise a  montrer vos dents lorsque vous riez,Rules
Le sens du jeu est inverse,Base
Quelqu'un doit etre designe pour verser votre boisson dans votre bouche chaque fois que vous avez soif,Rules
Vous ne devez parler que par phrases de trois mots,Rules
Vous devez commencer chaque phrase par« Ma maman dit»,Rules
Tout le monde doit te donner un vetement. Tu dois les mettre tous,DareAssis
Vous devez vous faire passer pour quelqu'un d'autre,DareAssis
Si quelqu'un a besoin d'une nouvelle boisson vous devez la lui procurer. Aucune exception,Rules
Tu dois tenir la main du plus jeune joueur,DareAssis
Tu ne dois repondre que lorsque les gens s'adressent a  toi en tant que M. Worldwide. Tu dois egalement parler de toi a  la troisieme personne. Tu dois egalement etre un grand connard,Rules
Tu dois seulement te deplacer a  genoux,Rules
Quand tu es pret.te croises les bras derriere de ta tete. Si quelqu'un le remarque il doit s'immobilise. Le dernier a  remarquer dois boire 2 gorgees,Competition
Tu dois parler avec un accent choisis par un autre joueur,Rules
Tu dois copier ton voisin de gauche pendant 2 tours,Rules
Repetes le dernier mot de chaque phrases. phrases,Rules
Quelqu'un donne un mot tu dois l'epeler,DareAssis
Tu dois complimenter quelq'un sincerement a  chaque fois que tu boisÂ ,Rules
Tu deviens Gilbert Montagne bande toi les yeux et si le coeur y est pousse la chansonette,DareAssis
